iter	Logloss
0	0.6073197995
1	0.54198537
2	0.4914700219
3	0.4505099758
4	0.418019493
5	0.3915088167
6	0.3701311013
7	0.3527426723
8	0.3373052952
9	0.3246886757
10	0.3137266215
11	0.3039816133
12	0.2960590601
13	0.2864422866
14	0.2781764567
15	0.2707174445
16	0.2645073977
17	0.2587849567
18	0.2538422665
19	0.249405022
20	0.2453861271
21	0.2416184786
22	0.2381742296
23	0.2350340204
24	0.2321670647
25	0.2293431986
26	0.2268007905
27	0.2244901371
28	0.2225258061
29	0.2205812832
30	0.2187116556
31	0.2170277047
32	0.2153955258
33	0.2139140351
34	0.2125565184
35	0.2109661792
36	0.2096785943
37	0.2084672273
38	0.2072842291
39	0.2061542828
40	0.2051654385
41	0.2041828051
42	0.2032964218
43	0.202428958
44	0.2015802153
45	0.2007708579
46	0.2000304112
47	0.1993566763
48	0.1986365432
49	0.197942447
50	0.1971320338
51	0.1964523376
52	0.1958685942
53	0.1952640274
54	0.1944959873
55	0.193938069
56	0.1933996252
57	0.1928150747
58	0.1922202599
59	0.191749743
60	0.191286729
61	0.1907950181
62	0.1901406543
63	0.1897571173
64	0.1892875917
65	0.1888743667
66	0.1884713254
67	0.1881350961
68	0.1878209248
69	0.1873656221
70	0.1870034456
71	0.1865206669
72	0.1861542611
73	0.1856677886
74	0.1853629476
75	0.1849416998
76	0.1845232139
77	0.1841518457
78	0.1837845462
79	0.1834025479
80	0.183077374
81	0.1827737301
82	0.1824656464
83	0.1821643204
84	0.1818895865
85	0.181621372
86	0.1813451902
87	0.1810997095
88	0.1808409945
89	0.180540463
90	0.1803083503
91	0.1799963831
92	0.1797876622
93	0.1795105954
94	0.1793130508
95	0.1791002143
96	0.1789387279
97	0.1787270179
98	0.178497039
99	0.1783104159
