iter	Passed	Remaining
0	85	8463
1	147	7220
2	219	7091
3	278	6677
4	336	6384
5	392	6149
6	452	6013
7	509	5861
8	566	5724
9	625	5627
10	679	5500
11	738	5416
12	798	5340
13	859	5282
14	916	5196
15	975	5122
16	1033	5047
17	1092	4974
18	1145	4881
19	1199	4798
20	1255	4723
21	1311	4649
22	1365	4570
23	1420	4498
24	1476	4429
25	1533	4364
26	1590	4300
27	1646	4232
28	1703	4170
29	1759	4104
30	1816	4044
31	1875	3986
32	1931	3920
33	1985	3854
34	2042	3793
35	2097	3729
36	2153	3666
37	2208	3603
38	2263	3540
39	2320	3481
40	2378	3423
41	2436	3364
42	2492	3304
43	2554	3251
44	2610	3190
45	2667	3131
46	2725	3073
47	2780	3012
48	2837	2953
49	2892	2892
50	2947	2831
51	3004	2773
52	3064	2717
53	3119	2657
54	3175	2598
55	3228	2536
56	3287	2479
57	3342	2420
58	3397	2360
59	3454	2303
60	3510	2244
61	3565	2185
62	3619	2125
63	3678	2069
64	3733	2010
65	3791	1953
66	3844	1893
67	3900	1835
68	3954	1776
69	4011	1719
70	4062	1659
71	4114	1600
72	4168	1541
73	4222	1483
74	4280	1426
75	4345	1372
76	4402	1314
77	4459	1257
78	4515	1200
79	4575	1143
80	4631	1086
81	4688	1029
82	4743	971
83	4800	914
84	4856	857
85	4911	799
86	4969	742
87	5027	685
88	5083	628
89	5137	570
90	5194	513
91	5250	456
92	5308	399
93	5368	342
94	5424	285
95	5482	228
96	5540	171
97	5598	114
98	5656	57
99	5713	0
